Journey Duration,Journey ID,End Date,End Month,End Year,End Hour,End Minute,End Station ID,Start Date,Start Month,Start Year,Start Hour,Start Minute,Start Station ID
300,7778,14,9,17,13,44,25,14,9,17,13,39,804
720,374,19,9,17,22,10,217,19,9,17,21,58,372
900,6172,15,9,17,14,14,372,15,9,17,13,59,217
1020,3314,19,9,17,15,37,372,19,9,17,15,20,217
780,7330,14,9,17,13,7,456,14,9,17,12,54,6
1140,1869,13,9,17,9,18,581,13,9,17,8,59,462
660,8151,13,9,17,17,47,456,13,9,17,17,36,184
1260,2590,14,9,17,8,30,141,14,9,17,8,9,462
1500,3162,13,9,17,9,4,55,13,9,17,8,39,352
300,8250,13,9,17,9,59,32,13,9,17,9,54,55
660,14401,19,9,17,18,9,595,19,9,17,17,58,155
1080,14401,19,9,17,17,51,155,19,9,17,17,33,288
2040,9320,17,9,17,12,16,133,17,9,17,11,42,625
2040,7871,17,9,17,12,16,133,17,9,17,11,42,625
960,13853,15,9,17,18,3,395,15,9,17,17,47,638
480,8103,19,9,17,19,17,726,19,9,17,19,9,638
780,13697,16,9,17,18,26,395,16,9,17,18,13,625
1920,3745,17,9,17,14,22,625,17,9,17,13,50,168
1920,12789,17,9,17,14,22,625,17,9,17,13,50,168
780,11316,16,9,17,18,26,395,16,9,17,18,13,625
0,3470,19,9,17,16,13,102,19,9,17,16,13,102
480,8676,13,9,17,7,20,102,13,9,17,7,12,732
420,1801,13,9,17,16,23,732,13,9,17,16,16,102
360,14893,19,9,17,16,19,732,19,9,17,16,13,102
420,11796,19,9,17,7,17,102,19,9,17,7,10,732
420,4912,15,9,17,16,25,735,15,9,17,16,18,636
960,10849,14,9,17,7,37,368,14,9,17,7,21,370
29820,10646,15,9,17,18,12,105,15,9,17,9,55,22
900,7824,15,9,17,7,35,368,15,9,17,7,20,370
540,7787,18,9,17,13,27,25,18,9,17,13,18,22
720,13699,15,9,17,18,55,192,15,9,17,18,43,826
840,10895,18,9,17,19,42,148,18,9,17,19,28,141
420,6116,18,9,17,17,44,409,18,9,17,17,37,139
540,6892,18,9,17,8,54,281,18,9,17,8,45,411
600,3011,19,9,17,19,19,411,19,9,17,19,9,221
720,7774,17,9,17,19,25,787,17,9,17,19,13,521
540,8409,17,9,17,23,6,223,17,9,17,22,57,269
2400,2144,17,9,17,12,1,521,17,9,17,11,21,820
0,4020,17,9,17,11,21,820,17,9,17,11,21,820
420,250,13,9,17,12,45,120,13,9,17,12,38,140
900,12636,14,9,17,17,52,307,14,9,17,17,37,220
1260,12876,15,9,17,10,21,338,15,9,17,10,0,85
360,13652,15,9,17,15,58,85,15,9,17,15,52,194
480,3027,13,9,17,17,58,272,13,9,17,17,50,85
720,3424,18,9,17,10,41,85,18,9,17,10,29,361
780,934,15,9,17,12,27,732,15,9,17,12,14,18
540,538,15,9,17,13,52,133,15,9,17,13,43,667
1260,10536,19,9,17,8,21,167,19,9,17,8,0,667
1200,13156,18,9,17,7,58,167,18,9,17,7,38,667
480,13812,16,9,17,9,50,133,16,9,17,9,42,667
780,14623,15,9,17,20,4,133,15,9,17,19,51,167
1200,14427,14,9,17,8,23,167,14,9,17,8,3,667
720,12858,16,9,17,11,9,667,16,9,17,10,57,133
1380,9888,19,9,17,18,32,667,19,9,17,18,9,167
960,14031,15,9,17,15,24,288,15,9,17,15,8,133
1440,10536,18,9,17,18,44,667,18,9,17,18,20,167
420,7981,14,9,17,11,3,331,14,9,17,10,56,39
300,13569,18,9,17,15,22,420,18,9,17,15,17,80
1260,8253,13,9,17,13,9,80,13,9,17,12,48,39
